,,,,,,,,
SN,Location,ISP,ILL Bandwidth,CE IP, Netmask, Default Gateway ,Logical Circuit ID,Address
24,KARANJA(WAR),Jio,10Mb,136.232.61.54,255.255.255.252,136.232.61.53,ILL_9335060166_300859808490,
25,KORPANA,Jio,10Mb,136.232.61.70,255.255.255.252,136.232.61.69,ILL_9335060166_300859775033,"MAIN ROAD, KORPANA TAHSIL OFFICE, CHANDRAPUR, MAHARASHTRA (MH), India (IN), 442916"
26,Loha,Airtel,200Mb,182.75.145.166,255.255.255.252,182.75.145.165,13331934,"Tahsil office Loha Near Shivaji Chowk, Kandhar Road, Nanded 431708"
27,MAHAGAON,Jio,10Mb,115.242.216.206,255.255.255.252,115.242.216.205,ILL_9335060166_300867367452,"Tahsil office, Patil Nagar, Mahagaon Road, Taluka-Umarkhed, Pin code-445206"
28,Mahur,,,,,,,
29,Malegaon,Airtel,2Mb,182.74.200.197,255.255.255.252,182.74.200.196,13573893,Tehsil Office Malegaon Jahngir Washim 444503
30,MAREGAON,0,0,,,,,
31,Mokhed,Jio,10Mb,115.242.240.106,255.255.255.252,115.242.240.105,ILL_9335060166_300869285517,
32,Mudkhed,Jio,10Mb,115.242.240.101,255.255.255.252,115.242.240.100,ILL_9335060166_300869287095,
33,Murtizapur,Airtel,200Mb,182.73.19.102,255.255.255.252,182.73.19.101,13331938,
34,NANDGAON KH,Jio,10Mb,136.232.61.30,255.255.255.252,136.232.61.29,ILL_9335060166_300859501017,
35,PANDHARKWADA(KELAPUR),Jio,10Mb,136.232.61.166,255.255.255.252,136.232.61.165,ILL_9335060166_300860018639,
36,Patur,Jio,10Mb,136.232.61.58,255.255.255.252,136.232.61.57,ILL_9335060166_300859809260,"Tahasil office Patur, Akola Wahim highway, Patur, Maharashtra 444501"
37,POMBHURNA,Jio,10Mb,136.232.61.82,255.255.255.252,136.232.61.81,ILL_9335060166_300860202550,"NEAR POLICE STATION,POMBHURNA TAHSIL OFFICE, CHANDRAPUR, MAHARASHTRA (MH), India (IN), 441224"
38,PUSAD,Airtel,200Mb,182.75.85.122,255.255.255.252,182.75.85.121,,
39,RAJURA,Jio,10Mb,136.232.61.186,255.255.255.252,136.232.61.185,ILL_9335060166_300860276226,"MANCHERIAL-CHANDRAPUR-NAGPUR ROAD,RAJURA TAHSIL OFFICE, CHANDRAPUR, MAHARASHTRA (MH), India (IN), Pin Code:- 442905"
40,RALEGAON,Jio,10Mb,136.232.61.18,255.255.255.252,136.232.61.17,ILL_9335060166_300859488428,"Ralegaon tehsil office opp to hindustan petroleum pump wadki , Pin 445402"
41,Risod,Jio,10Mb,115.242.218.86,255.255.255.252,115.242.218.85,ILL_9335060166_300867569656,"Tehsil Office Risod,Washim,444506"
42,SAMUDRAPUR,Jio,10Mb,136.232.60.246,255.255.255.252,136.232.60.245,ILL_9335060166_300859670885,"Tahsil Office Near Samudrapur Bus Stop,Dist- Wardha-442305"
43,Telhara,Jio,10Mb,136.232.61.34,255.255.255.252,136.232.61.33,ILL_9335060166_300859501206,"Telhara Tahasil Office, Sai Nagar, Telhara, Maharashtra 444108"
44,TIOSA,Jio,10Mb,136.232.61.22,255.255.255.252,136.232.61.21,ILL_9335060166_300859500991,"Madhyawarti  Prashashkiya bhawan,  nagpur amravati road,  taluka tiwsa 444903"
45,UMARKHED,Jio,10Mb,115.242.216.222,255.255.255.252,115.242.216.221,ILL_9335060166_300867162165,"Tahsil Office Near Bus stand Umarkhed road, Mahagaon 445206"
46,Umri,Jio,10Mb,115.242.218.82,255.255.255.252,115.242.218.81,ILL_9335060166_300867592821,"Teshil Office Umri, Mudkhed -Umri Road , Nanded, Maharashtra -431807"
47,WANI,Jio,10Mb,136.232.61.74,255.255.255.252,136.232.61.73,ILL_9335060166_300859517351,Taluka Office Wani Opposite police station wani near by Tilak chowk 
48,WARDHA_MTHQ,,,136.232.234.150,255.255.255.252,136.232.234.149,,
49,WARORA,Jio,10mb,136.232.61.78,255.255.255.252,136.232.61.77,ILL_9335060166_300857522467,"WARORA TAHSIL OFFICE, CHANDRAPUR, MAHARASHTRA (MH), India (IN), Pin Code:- 442907"
50,Washim,Jio,10Mb,136.232.61.254,255.255.255.252,136.232.61.253,ILL_9335060166_300860521068,"Tehsil Office Civil Road Washim,444505"
51,YAVATMAL,Jio,10Mb/200Mb,136.232.46.42,255.255.255.252,136.232.46.41,ILL_9335342572_300857927185 ,"Tanga Chouk, Tahsil Office, Yavatmal 445001"
,,,,,,,,
